Document,polarity,subjectivity,pred,Length
crossed 100 day mark war ukraine ever obvious negative impact wide range issue global food crisis could last year serious problem cost living prospect world recession lack end sight war ha western leader worried uncertain best respond argument delaying russian progress even attempting defeat strengthening ukraine militarily equally quick negotiated settlement based ukrainian concession,0.059999999999999984,0.2833333333333333,Positive Sentiment,54
settlement front report western pressure ha building kyiv make concession russia bring war end included former u secretary state henry kissinger comment world economic forum davos may french president emmanuel macron warning russia must humiliated,0.05,0.05,Positive Sentiment,35
international pressure exists ukraine doe appear particularly effective however political track actual settlement remains obstructed humanitarian negotiation discussion unblocking ukrainian black sea port continue thanks turkish un mediation,0.10555555555555556,0.2722222222222222,Positive Sentiment,28
ukrainian force pushed back russian military around kharkiv ukraine,-0.03333333333333333,0.03333333333333333,Negative Sentiment,9
nonetheless effort revive political negotiation ukraine russia way russian foreign minister sergey lavrov currently visiting turkey creates opportunity explore resuming turkish mediated negotiation recent phone call russian president vladamir putin german chancellor olaf scholz president macron urged hold direct serious negotiation ukraine president ukrainian president volodymyr zelensky ha closed door negotiation insisting recent interview war ended negotiating table,-0.04166666666666666,0.20833333333333331,Negative Sentiment,58
position moscow kyiv remain far apart march unlikely change side decide cannot improve position battlefield,-0.2,0.75,Negative Sentiment,15
change hardly imminent seeing ongoing battle donbas endless russian rhetoric liberating region moscow trying secure ukrainian territory entrenching control east south remains priority,-0.004166666666666666,0.47291666666666665,Negative Sentiment,23
ukraine often stated pushing russian force back position occupied february 24 invasion eventually restoring full sovereignty territory show sign seeking kind surrender moreover western partner including united state united kingdom continue supply ukraine weapon eu keep tightening sanction russia,0.19,0.29000000000000004,Positive Sentiment,39
fighting therefore remains intense costly side military situation ground ukraine ha changed little recent week side gaining losing territory different area along approximately 500km front line despite prediction contrary ukrainian defence collapsed ukraine ha lost ground donbas made important gain around kharkiv strengthened determination prevail russian invader,-0.010937500000000003,0.5062500000000001,Negative Sentiment,47
kyiv western ally agreement consolidates kremlin control russian occupied territory donbas black sea region play putin hand fact pushing defeat russia ukraine ha become key message several western capital considered best way curb future russian adventurism reassure key ally inside outside nato baltic state moldova taiwan,0.07575757575757576,0.2643939393939394,Positive Sentiment,46
talk western pressure ukraine also misguided three additional reason one fact settlement stick doe ukrainian backing including public support moment doe favour concession kind,0.19999999999999998,0.32222222222222224,Positive Sentiment,24
second ultimately much western appetite putting pressure ukraine pressing ukrainian concession would self defeating quest security stability europe,0.0,0.0,Negative Sentiment,18
unless russia realises west willing able push back new stable security order europe possible concession russia ukraine eu nato way achieve ha realised beyond ukraine ardent supporter baltic state poland uk u clear german support strengthening nato northern flank general increase nato member defence spending,0.12954545454545455,0.4641098484848485,Positive Sentiment,45
finally ending war ukrainian concession take two negotiate peace settlement stick pressure ukraine would insufficient bridge deep gap trust currently exists peace russia ukraine whether military victory negotiated peace deal end much wider current crisis european global security order must resolved,0.0125,0.3125,Positive Sentiment,41
focus west therefore need continuing pressure russia rather ukraine may bring quick end russian invasion permanent one,0.16666666666666666,0.25,Positive Sentiment,17
